entry_dt,exit_dt,direction,entry_price,exit_price,pnl,mfe_usd,mae_usd,bars_held,mins_held,exit_signal,year,month,dow,entry_hour,is_win
2024-07-08 12:25:00,2024-07-08 12:55:00,SHORT,20622.75,20634.5,-24.74,24.5,-34.0,6,30,EMA Break Exit,2024,2024-07,Monday,12,False
2024-07-10 12:05:00,2024-07-10 15:05:00,LONG,20769.5,20868.0,195.76,251.0,-14.0,36,180,EMA Break Exit,2024,2024-07,Wednesday,12,True
2024-07-11 13:50:00,2024-07-11 14:35:00,SHORT,20401.25,20460.5,-119.74,50.0,-133.0,9,45,EMA Break Exit,2024,2024-07,Thursday,13,False
2024-07-15 13:45:00,2024-07-15 14:25:00,SHORT,20576.0,20600.75,-50.74,57.5,-54.0,8,40,EMA Break Exit,2024,2024-07,Monday,13,False
2024-07-17 13:20:00,2024-07-17 13:25:00,SHORT,20036.0,20046.5,-22.24,16.0,-28.0,1,5,EMA Cross Stop,2024,2024-07,Wednesday,13,False
2024-07-18 10:00:00,2024-07-18 10:05:00,SHORT,20075.75,20104.5,-58.74,17.5,-59.5,1,5,EMA Cross Stop,2024,2024-07,Thursday,10,False
2024-07-19 12:45:00,2024-07-19 13:45:00,SHORT,19710.5,19715.5,-11.24,113.0,-54.5,12,60,Time Stop,2024,2024-07,Friday,12,False
2024-07-22 12:40:00,2024-07-22 15:00:00,LONG,19924.0,20011.5,173.76,240.5,-14.5,28,140,EMA Break Exit,2024,2024-07,Monday,12,True
2024-07-25 10:00:00,2024-07-25 10:30:00,SHORT,18986.75,19089.25,-206.24,206.5,-221.5,6,30,EMA Break Exit,2024,2024-07,Thursday,10,False
2024-07-25 10:45:00,2024-07-25 11:45:00,LONG,19169.25,19171.0,2.26,220.5,-53.5,12,60,EMA Break Exit,2024,2024-07,Thursday,10,True
2024-07-25 12:10:00,2024-07-25 13:20:00,LONG,19289.0,19254.5,-70.24,203.0,-84.0,14,70,Time Stop,2024,2024-07,Thursday,12,False
2024-07-26 10:50:00,2024-07-26 10:55:00,SHORT,19070.75,19128.25,-116.24,13.5,-128.5,1,5,EMA Cross Stop,2024,2024-07,Friday,10,False
2024-07-29 12:20:00,2024-07-29 13:20:00,LONG,19322.75,19306.75,-33.24,52.5,-65.0,12,60,Time Stop,2024,2024-07,Monday,12,False
2024-07-29 13:45:00,2024-07-29 15:15:00,SHORT,19273.25,19230.5,84.26,178.5,-16.0,18,90,EMA Break Exit,2024,2024-07,Monday,13,True
2024-07-31 11:25:00,2024-07-31 12:05:00,LONG,19490.75,19463.5,-55.74,50.5,-85.0,8,40,EMA Break Exit,2024,2024-07,Wednesday,11,False
2024-08-01 10:00:00,2024-08-01 10:05:00,LONG,19606.25,19565.5,-82.74,25.0,-122.5,1,5,EMA Cross Stop,2024,2024-08,Thursday,10,False
2024-08-01 10:25:00,2024-08-01 15:15:00,SHORT,19446.25,18951.75,987.76,1156.5,-50.0,58,290,EMA Break Exit,2024,2024-08,Thursday,10,True
2024-08-02 10:10:00,2024-08-02 11:10:00,SHORT,18396.75,18461.25,-130.24,0.0,-315.5,12,60,Time Stop,2024,2024-08,Friday,10,False
2024-08-02 11:15:00,2024-08-02 11:20:00,SHORT,18456.25,18502.75,-94.24,54.5,-102.0,1,5,EMA Cross Stop,2024,2024-08,Friday,11,False
